training_method,model_name,num_shots,train_samples,valid_samples,trainable_params,total_params,trainable_percentage,f1_score,exact_match,eval_loss,training_time_hours,emissions_rate_kg_per_s,emissions_kg,timestamp,duration_seconds,duration_hours,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,cpu_power_w,gpu_power_w,ram_power_w,country_name,country_iso_code,region,cloud_provider,cloud_region,on_cloud,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size_gb,pue,codecarbon_version
Few-Shot (Frozen Backbone),BERT,100,100,12134,1538,108893186,0.0014123932419426134,0.014423667335742494,0.0004944783253667381,5.77177619934082,0.05636858333333333,3.4351115151552604e-05,0.006991230109763153,2025-12-14T06:25:15,203.5226536,0.056534070444444445,0.015446109621343065,0.002401459449420836,0.0108977170515,0.0021469331204222292,42.5,192.70557823465805,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0
Few-Shot (Frozen Backbone),BERT,500,500,12134,1538,108893186,0.0014123932419426134,0.07039066029338069,0.05999670347783089,4.253273963928223,0.0585145,3.435504828514973e-05,0.007257706205793479,2025-12-14T06:29:10,211.25588721500026,0.058682190893055625,0.01603484993258014,0.002492782857513889,0.011313480717444035,0.0022285863576222164,42.5,187.582564950394,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0
Few-Shot (Frozen Backbone),BERT,1000,1000,12134,1538,108893186,0.0014123932419426134,0.031146549248250572,0.013186088676446349,4.1435747146606445,0.06263902777777777,3.3856079222208054e-05,0.007654923629291914,2025-12-14T06:33:19,226.10189381500004,0.06280608161527779,0.01691244425726074,0.002667321569481966,0.011860537821756001,0.002384584866022773,42.5,184.13358134707698,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0
