training_method,model_name,dataset_size%,train_samples,valid_samples,trainable_params,total_params,trainable_percentage,f1_score,exact_match,eval_loss,training_time_hours,emissions_rate_kg_per_s,emissions_kg,timestamp,duration_seconds,duration_hours,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,cpu_power_w,gpu_power_w,ram_power_w,country_name,country_iso_code,region,cloud_provider,cloud_region,on_cloud,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size_gb,pue,codecarbon_version,lora_rank,num_shots
Full Fine-Tuning,DistilBERT,25.0,32579,12134,66364418,66364418,100.0,0.4670549978051946,0.3880830723586616,1.985140681266785,0.0493225833333333,2.172024175108766e-05,0.0038655220855204,2025-12-01T03:23:13,177.96864923600003,0.0494357358988888,0.0144439623256699,0.0020999958109263,0.010466530873218,0.0018774356415255,42.5,211.32684865609744,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
Full Fine-Tuning,DistilBERT,50.0,65159,12134,66364418,66364418,100.0,0.569492261090313,0.4910169770891709,1.4439458847045898,0.0873576111111111,2.265967128614436e-05,0.0071362939832657,2025-12-01T03:29:20,314.9336940129999,0.0874815816702777,0.0266655730218956,0.0037163989916819,0.0196266293124019,0.0033225447178116,42.5,224.3958361855862,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
Full Fine-Tuning,DistilBERT,80.0,104255,12134,66364418,66364418,100.0,0.6096579615945016,0.5306576561727377,1.300708293914795,0.1362503333333333,2.274290267420521e-05,0.0111657595148054,2025-12-01T03:38:47,490.9557796889999,0.1363766054691666,0.0417221286546153,0.0057932926077826,0.030749494599576,0.0051793414472566,42.5,225.06917795561543,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
LoRA,DistilBERT,80.0,104255,12134,75266,66439684,0.1132847049663872,0.4930335343604761,0.4305257952859733,1.417748212814331,0.1356491944444444,2.008818023492685e-05,0.00981952161302,2025-12-01T03:47:15,488.820863721,0.1357835732558333,0.0366917578264121,0.0057677314424201,0.0257675314473419,0.0051564949366499,42.5,189.3898290990265,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,4.0,
LoRA,DistilBERT,80.0,104255,12134,148994,66513412,0.2240059493564997,0.512775500119927,0.4430525795285973,1.3714981079101562,0.1352677222222222,2.013219701225146e-05,0.0098129561814721,2025-12-01T03:55:40,487.4259960549998,0.1353961100152777,0.0366672253457195,0.0057516009327076,0.025773661174468,0.0051419632385439,42.5,189.8080293584671,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,8.0,
LoRA,DistilBERT,80.0,104255,12134,296450,66660868,0.4447136811959904,0.5458453270860725,0.4761826273281688,1.309248685836792,0.1358945,2.0020520762149083e-05,0.0098039073493767,2025-12-01T04:04:06,489.692923868,0.1360258121855555,0.0366334133568121,0.0057782989182569,0.0256891402735179,0.0051659741650372,42.5,188.4593484189819,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,16.0,
Few-Shot (Frozen Backbone),DistilBERT,,100,12134,1538,66364418,0.0023175069507879,0.0090921330168009,0.0004120652711389,5.830018043518066,0.0336164166666666,1.884747193161772e-05,0.0022896107320986,2025-12-01T04:06:26,121.48105275900024,0.0337447368775,0.0085553905586933,0.0014333587012895,0.0058405760613459,0.0012814557960577,42.5,170.66546937458523,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,100.0
Few-Shot (Frozen Backbone),DistilBERT,,500,12134,1538,66364418,0.0023175069507879,0.0198562701219133,0.0082413054227789,4.687152862548828,0.0349828888888888,1.882942271442881e-05,0.0023801122134063,2025-12-01T04:08:48,126.40388659300017,0.0351121907202778,0.0088935596229245,0.0014915879818423,0.0060685479103899,0.0013334237306922,42.5,172.75224602366404,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,500.0
Few-Shot (Frozen Backbone),DistilBERT,,1000,12134,1538,66364418,0.0023175069507879,0.022245072106549,0.0064282182297675,4.545422554016113,0.0367568055555555,1.866573771584677e-05,0.0024786727253,2025-12-01T04:11:17,132.79264731099966,0.0368868464752776,0.0092618421703001,0.0015669080317347,0.006294073646366,0.0014008604921994,42.5,170.72640640205975,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,1000.0
