training_method,model_name,num_shots,train_samples,valid_samples,trainable_params,total_params,trainable_percentage,f1_score,exact_match,eval_loss,training_time_hours,emissions_rate_kg_per_s,emissions_kg,timestamp,duration_seconds,duration_hours,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,cpu_power_w,gpu_power_w,ram_power_w,country_name,country_iso_code,region,cloud_provider,cloud_region,on_cloud,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size_gb,pue,codecarbon_version
Few-Shot (Frozen Backbone),DistilBERT,100,100,12134,1538,66364418,0.002317506950787996,0.009092133016800978,0.0004120652711389484,5.830018043518066,0.035130805555555554,3.301874355703626e-05,0.004194736617762771,2025-12-11T04:31:51,127.0410732169994,0.035289187004722056,0.008910127633671503,0.0014989844827652755,0.006071045967944,0.0013400971829622273,42.5,172.23128111810445,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0
Few-Shot (Frozen Backbone),DistilBERT,500,500,12134,1538,66364418,0.002317506950787996,0.019856270121913332,0.008241305422778969,4.687152862548828,0.03616025,3.3279005415277524e-05,0.004351153135027638,2025-12-11T04:34:18,130.7476915469997,0.03631880320749992,0.009242375223887945,0.0015427802300020735,0.006320329778481987,0.0013792652154038857,42.5,174.2558378145244,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0
Few-Shot (Frozen Backbone),DistilBERT,1000,1000,12134,1538,66364418,0.002317506950787996,0.02224507210654906,0.006428218229767595,4.545422554016113,0.03797169444444445,3.284957011080184e-05,0.004509349183376137,2025-12-11T04:36:51,137.27270001300076,0.03813130555916688,0.009578402753234797,0.0016195090425645913,0.006511055486617984,0.0014478382240522224,42.5,169.34475860402478,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0
