training_method,model_name,dataset_size%,train_samples,valid_samples,trainable_params,total_params,trainable_percentage,f1_score,exact_match,eval_loss,training_time_hours,emissions_rate_kg_per_s,emissions_kg,timestamp,duration_seconds,duration_hours,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,cpu_power_w,gpu_power_w,ram_power_w,country_name,country_iso_code,region,cloud_provider,cloud_region,on_cloud,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size_gb,pue,codecarbon_version,lora_rank,num_shots
Full Fine-Tuning,DistilBERT,25.0,32579,12134,66364418,66364418,100.0,0.4489225483662302,0.3804186583154771,1.7588050365447998,0.0615518888888888,3.5196956469104e-05,0.0078158084167084,2025-12-11T03:46:25,222.05921195399992,0.0616831144316666,0.0166017218478757,0.0026203103456402,0.011638812644376,0.0023425988578594,42.5,188.4965078542029,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
Full Fine-Tuning,DistilBERT,50.0,65159,12134,66364418,66364418,100.0,0.5701791827254348,0.4915938684687654,1.446385145187378,0.0914091111111111,4.014777270572944e-05,0.0132334211973572,2025-12-11T03:52:49,329.6178170169999,0.0915605047269444,0.0281093862721407,0.0038892204122652,0.0207431532611759,0.0034770125986994,42.5,226.5523386753591,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
Full Fine-Tuning,DistilBERT,80.0,104255,12134,66364418,66364418,100.0,0.6094128839715676,0.5302455909015988,1.299862504005432,0.1424350555555555,4.03959706476112e-05,0.0207362954171683,2025-12-11T04:02:41,513.3258363330001,0.1425905100925,0.0440463980584862,0.006057200268609,0.03257418578155,0.0054150120083272,42.5,226.80766847817287,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
LoRA,DistilBERT,80.0,104255,12134,75266,66439684,0.1132847049663872,0.4930335343604761,0.4305257952859733,1.417748212814331,0.1356491944444444,2.008818023492685e-05,0.00981952161302,2025-12-01T03:47:15,488.820863721,0.1357835732558333,0.0366917578264121,0.0057677314424201,0.0257675314473419,0.0051564949366499,42.5,189.3898290990265,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,4.0,
LoRA,DistilBERT,80.0,104255,12134,148994,66513412,0.2240059493564997,0.512775500119927,0.4430525795285973,1.3714981079101562,0.1352677222222222,2.013219701225146e-05,0.0098129561814721,2025-12-01T03:55:40,487.4259960549998,0.1353961100152777,0.0366672253457195,0.0057516009327076,0.025773661174468,0.0051419632385439,42.5,189.8080293584671,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,8.0,
LoRA,DistilBERT,80.0,104255,12134,296450,66660868,0.4447136811959904,0.5458453270860725,0.4761826273281688,1.309248685836792,0.1358945,2.0020520762149083e-05,0.0098039073493767,2025-12-01T04:04:06,489.692923868,0.1360258121855555,0.0366334133568121,0.0057782989182569,0.0256891402735179,0.0051659741650372,42.5,188.4593484189819,38.0,The Netherlands,NLD,groningen,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,16.0,
Few-Shot (Frozen Backbone),DistilBERT,,100,12134,1538,66364418,0.0023175069507879,0.0090921330168009,0.0004120652711389,5.830018043518066,0.0351308055555555,3.301874355703626e-05,0.0041947366177627,2025-12-11T04:31:51,127.0410732169994,0.035289187004722,0.0089101276336715,0.0014989844827652,0.006071045967944,0.0013400971829622,42.5,172.23128111810445,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,100.0
Few-Shot (Frozen Backbone),DistilBERT,,500,12134,1538,66364418,0.0023175069507879,0.0198562701219133,0.0082413054227789,4.687152862548828,0.03616025,3.3279005415277524e-05,0.0043511531350276,2025-12-11T04:34:18,130.7476915469997,0.0363188032074999,0.0092423752238879,0.001542780230002,0.0063203297784819,0.0013792652154038,42.5,174.2558378145244,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,500.0
Few-Shot (Frozen Backbone),DistilBERT,,1000,12134,1538,66364418,0.0023175069507879,0.022245072106549,0.0064282182297675,4.545422554016113,0.0379716944444444,3.284957011080184e-05,0.0045093491833761,2025-12-11T04:36:51,137.27270001300076,0.0381313055591668,0.0095784027532347,0.0016195090425645,0.0065110554866179,0.0014478382240522,42.5,169.34475860402478,38.0,Singapore,SGP,,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,1000.0
