training_method,model_name,train_samples,valid_samples,dataset_fraction,f1_score,exact_match,eval_loss,training_time_hours,duration_hours,emissions_kg,emissions_rate_kg_per_s,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,cpu_power_w,gpu_power_w,ram_power_w,cpu_model,cpu_count,gpu_model,gpu_count,ram_total_size_gb,country_name,region,pue
Full Fine-Tuning,roberta-base,32579,11873,0.25,0.7362298085680222,0.6454139644571717,0.9637773633003235,0.29201476693153383,0.29200985339861113,0.0341758478363149,3.251017373267919e-05,0.1277019371961755,0.0124089709549375,0.1006944233332519,0.0145985429079861,42.5,58.165831433120566,50.0,Intel(R) Xeon(R) CPU @ 2.20GHz,12,1 x NVIDIA A100-SXM4-80GB,1,167.05178833007812,The Netherlands,groningen,1.0
Full Fine-Tuning,roberta-base,65159,11873,0.5,0.7678309283322107,0.6762402088772846,0.8924976587295532,0.55142811788453,0.5514239564694444,0.0652044871467183,3.284651914059297e-05,0.2436439722695383,0.0234326787974965,0.192643869670528,0.0275674238015138,42.5,159.33432136300215,50.0,Intel(R) Xeon(R) CPU @ 2.20GHz,12,1 x NVIDIA A100-SXM4-80GB,1,167.05178833007812,The Netherlands,groningen,1.0
Full Fine-Tuning,roberta-base,104255,11873,0.8,0.7794883957606816,0.6886212414722479,0.8436398506164551,0.8632247502273983,0.8632206031275,0.1020689398071791,3.2845002977279774e-05,0.3813921867678259,0.0366823417797395,0.301554862910364,0.043154982077722,42.5,70.33640135198331,50.0,Intel(R) Xeon(R) CPU @ 2.20GHz,12,1 x NVIDIA A100-SXM4-80GB,1,167.05178833007812,The Netherlands,groningen,1.0
LoRA Fine-Tuning,roberta-base,6515,11873,0.05,0.43694947247598326,0.39897245851932955,1.6047199964523315,0.32957758877012466,0.3293033019886111,0.0204656712090059,1.726344265252746e-05,0.0434715595274382,0.0139916317178395,0.022895724983232,0.0065842028263666,42.5,39.78391772913948,20.0,Intel(R) Xeon(R) CPU @ 2.00GHz,8,1 x Tesla T4,1,50.99031066894531,Singapore,,1.0
LoRA Fine-Tuning,roberta-base,104255,11873,0.8,0.742626516204969,0.6505516718605239,0.9001805782318115,0.6568559463818868,0.6566957377658333,0.1360878179090852,5.7564210436359175e-05,0.2890669754623367,0.0279059682127958,0.228331101831402,0.0328299054181389,42.5,320.25528268634093,50.0,Intel(R) Xeon(R) CPU @ 2.20GHz,12,1 x NVIDIA A100-SXM4-80GB,1,167.05178833007812,Singapore,,1.0
