training_method,model_name,train_samples,valid_samples,dataset_fraction,f1_score,exact_match,eval_loss,training_time_hours,few_shot_samples,duration_hours,emissions_kg,emissions_rate_kg_per_s,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,cpu_power_w,gpu_power_w,ram_power_w,cpu_model,cpu_count,gpu_model,gpu_count,ram_total_size_gb,country_name,region,pue
Few-Shot (Frozen Backbone),roberta-base,100,11873,0.0007673478157444425,0.023002026234024586,0.0,5.930097579956055,0.16943115717834897,100,0.16919244851777776,0.0302064975118755,4.959260195597386e-05,0.0641622520606638,0.0071895120428298,0.050544588491194,0.0064281515266399,42.5,267.18559681267885,38.0,Intel(R) Xeon(R) CPU @ 2.20GHz,12,1 x NVIDIA A100-SXM4-40GB,1,83.47371673583984,Singapore,,1.0
Few-Shot (Frozen Backbone),roberta-base,500,11873,0.0038367390787222124,0.09886107437246154,0.08312979028046828,4.03519868850708,0.17631172988149854,500,0.17630693592583332,0.0313950852297272,4.9464060857629286e-05,0.0666869560492355,0.0074918335775881,0.0524966664417439,0.0066984560299033,42.5,226.1615172148813,38.0,Intel(R) Xeon(R) CPU @ 2.20GHz,12,1 x NVIDIA A100-SXM4-40GB,1,83.47371673583984,Singapore,,1.0
Few-Shot (Frozen Backbone),roberta-base,1000,11873,0.007673478157444425,0.15830830331792184,0.14309778489008676,3.716970205307007,0.18502955595652262,1000,0.18502481056944436,0.0329830129707506,4.9517402662017824e-05,0.0700599065190346,0.0078622742818624,0.0551679746898999,0.0070296575472722,42.5,234.82028004006287,38.0,Intel(R) Xeon(R) CPU @ 2.20GHz,12,1 x NVIDIA A100-SXM4-40GB,1,83.47371673583984,Singapore,,1.0
